Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:213XktGRo3O5F6FBDIyvyE,"哈尼寶貝","南征北戰精選","南征北戰;米線",2014-12-03,209266,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:37:14Z,"mandopop,c-pop,chinese hip hop","北京多来米文化传媒有限公司",0.689,0.734,6,-5.642,1,0.0417,0.000853,0.00253,0.0941,0.663,125.907,4
spotify:track:2uDWG3QwxnyGfynoX83OgR,"默 - 那英","默 - 那英","MAKS",2022-05-11,324162,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:37:30Z,"","3099172 Records DK",0.533,0.289,5,-9.646,0,0.0296,0.915,0.000126,0.0962,0.188,139.805,4
spotify:track:479lquEL4Mzh3tQLtnHVfL,"青花瓷","我很忙","Jay Chou",2008-03-10,237346,1,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:38:20Z,"mandopop,c-pop,taiwanese pop,gufeng,malay pop,cantopop,chinese r&b","JVR",0.689,0.497,11,-7.855,0,0.0251,0.221,0,0.108,0.543,108.01,4
spotify:track:7pXCpXqu1Sqnap5M9GAJbz,"雪落下的声音 - 片尾曲","延禧攻略 (影视原声)","陆虎",2018-07-23,311275,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:38:32Z,"gufeng,mandopop,c-pop","东阳欢娱影视文化有限公司",0.314,0.337,2,-10.433,1,0.0362,0.319,0.0000407,0.191,0.294,174.896,4
spotify:track:6Tv5ukQ3xK8WHxJgWMM6vM,"隠形的翅膀","潘朵拉","Angela Chang",2006-01-05,222080,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:38:42Z,"mandopop,taiwanese pop,c-pop,malay pop","Linfair",0.543,0.395,1,-6.858,1,0.0251,0.691,0,0.0921,0.375,144.036,4
spotify:track:7uupMVckq9ta7ei9ghX8q0,"這世界那麼多人 - 電影《我要我們在一起》主題曲","這世界那麼多人 (電影《我要我們在一起》主題曲)","Karen Mok",2021-05-07,285833,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:39:06Z,"mandopop,c-pop,taiwanese pop,cantopop","Mok-a-Bye Baby Music Limited",0.526,0.184,11,-12.648,1,0.0359,0.95,0,0.0778,0.237,143.567,4
spotify:track:72uecKUw0CCGWZCP7tzT0y,"辣台妹","幹大事","頑童Mj116",2017-11-15,266217,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:40:02Z,"chinese hip hop,taiwanese pop,mandopop,chinese r&b","Rock Records Co., Ltd.",0.806,0.833,7,-6.069,1,0.282,0.0297,0.00276,0.139,0.322,95.018,4
spotify:track:3R1IoZarNmaSJ6gdvjh6BJ,"辞九门回忆 - DJ版","辞九门回忆 (DJ版)","等什么君",2020-06-01,222432,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:41:16Z,"gufeng,c-pop,mandopop","新坚诚文化",0.654,0.855,11,-6.029,0,0.13,0.00355,0.0000107,0.613,0.9,128.001,4
spotify:track:5ocA068mvMpA2GFPYQo670,"身騎白馬","徐佳瑩LaLa首張創作專輯","LaLa Hsu",2009-05-29,313186,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:41:24Z,"mandopop,taiwanese pop,c-pop,gufeng,malay pop","AsiaMuse",0.533,0.479,2,-6.958,0,0.0376,0.686,0,0.0803,0.294,130.012,4
spotify:track:59IPPEcm1dL7zu5sKM6II0,"起风了","起风了","Zhou Shen",2020-09-03,323795,1,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:41:41Z,"gufeng,c-pop,mandopop","bilibili",0.563,0.577,6,-5.103,1,0.0272,0.258,0,0.138,0.41,77.519,4
spotify:track:5nzXbJgExUFzEQhzAP5y6h,"赤伶","赤伶","等什么君",2019-07-17,282171,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:42:02Z,"gufeng,c-pop,mandopop","坚诚文化",0.37,0.434,11,-7.873,0,0.0305,0.267,0,0.254,0.243,130.105,4
