Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson;Bruno Mars",2015-01-12,269658,90,false,,1970-01-01T00:00:00Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
spotify:track:5jSlcXdUGLWOV2pSfYYiBs,"All About That Bass","Title (Expanded Edition)","Meghan Trainor",2015-01-09,187866,74,true,,1970-01-01T00:00:00Z,"","Epic",0.812,0.869,9,-3.698,1,0.0503,0.044,0.0000041,0.118,0.963,134.087,4
spotify:track:7BXW1QCg56yzEBV8pW8pah,"Have It All","Know.","Jason Mraz",2018-08-10,226106,69,false,,1970-01-01T00:00:00Z,"soft pop,acoustic pop","Atlantic Records",0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,4
spotify:track:7a53HqqArd4b9NF4XAmlbI,"Kings & Queens","Heaven & Hell","Ava Max",2020-09-18,162398,84,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,4
spotify:track:3kGFge3HOTG87wkdSV0HW5,"只有我做得到","午夜兩點半的我","楊培安",2006-01-01,215906,23,false,,1970-01-01T00:00:00Z,"mandopop,taiwanese pop,chinese rock,c-pop","擎天娛樂事業股份有限公司",0.535,0.755,3,-4.476,1,0.0294,0.0000988,0.000963,0.0773,0.569,130.03,4
spotify:track:2mb3O0JbMiYAbaD4gZU74g,"改變自己","改變自己","Leehom Wang",2007-07-01,195760,46,false,,1970-01-01T00:00:00Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop","寬魚國際股份有限公司",0.828,0.595,9,-5.584,1,0.036,0.0252,0,0.0479,0.925,104.513,4
spotify:track:39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,85,false,,1970-01-01T00:00:00Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
spotify:track:3fOITwrX4Tv3yOPd62VT24,"Love On Top","4","Beyoncé",2011,267540,66,false,,1970-01-01T00:00:00Z,"","Parkwood Entertainment/Columbia",0.652,0.723,0,-6.051,1,0.089,0.0841,0,0.496,0.653,94.121,4
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,"Feel It Still","Woodstock","Portugal. The Man",2017-06-16,163253,86,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
spotify:track:2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,84,true,,1970-01-01T00:00:00Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
spotify:track:2rd4FH1cSaWGc0ZiUaMbX9,"Lover Boy","Lover Boy","Phum Viphurit",2018-03-22,236727,59,false,,1970-01-01T00:00:00Z,"bedroom pop","Rats Records",0.798,0.556,11,-8.597,1,0.0303,0.527,0.000353,0.0959,0.627,109.994,4
spotify:track:3WD2cic9S2VrGIb6h114MM,"Mariposa","Mariposa","Peach Tree Rascals",2019-08-28,210000,69,false,,1970-01-01T00:00:00Z,"","Homemade Projects, LLC / TenThousand Projects, LLC",0.69,0.528,9,-6.1,1,0.027,0.647,0,0.428,0.427,112.001,4
spotify:track:4qRaZYiaOsSvWC7VgcxrI0,"HandClap","Fitz and The Tantrums (Deluxe Edition)","Fitz and The Tantrums",2017-07-24,193253,73,false,,1970-01-01T00:00:00Z,"","Elektra (NEK)",0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4
spotify:track:4r6eNCsrZnQWJzzvFh4nlg,"Firework","Teenage Dream","Katy Perry",2010-01-01,227893,78,false,,1970-01-01T00:00:00Z,"pop","Capitol Records",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
spotify:track:48td6xvpokdYwvbl3JIiXP,"Love Never Felt So Good","XSCAPE","Michael Jackson;Justin Timberlake",2014-05-09,246480,82,false,,1970-01-01T00:00:00Z,"","Epic/MJJ",0.775,0.719,7,-6.212,0,0.0435,0.132,0.00000179,0.0662,0.712,117.513,4
spotify:track:5x9yJ891TANz4TnEh8Fa23,"Everything's Okay","Two (Expanded Edition)","Lenka",2011-04-19,230933,45,false,,1970-01-01T00:00:00Z,"","Epic",0.735,0.387,7,-8.295,1,0.0866,0.599,0.00000697,0.31,0.505,146.078,4
spotify:track:6FfLg6FFqhCsrFOaHIGkg0,"Honeypie","For Abby","JAWNY",2020-10-27,135581,82,false,,1970-01-01T00:00:00Z,"bedroom pop","Johnny Utah LLC",0.74,0.688,5,-4.361,0,0.0916,0.061,0,0.138,0.935,115.035,4
spotify:track:2Rk4JlNc2TPmZe2af99d45,"ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift;Brendon Urie;Panic! At The Disco",2019-08-23,193000,75,false,,1970-01-01T00:00:00Z,"emo","Taylor Swift",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:7eYzn1CuiJK6VvUhf8zA6k,"WHERE IS MY HUSBAND!","THIS MUSIC MAY CONTAIN HOPE.","RAYE",2026-03-27,197142,89,false,,1970-01-01T00:00:00Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
